playerID,teamID,HR,BB,HBP,SO,IP,ERA
kendrky01,PHI,18,47,7,110,182.0000,4.7
kenneia01,ARI,18,48,10,108,124.0000,5.23
kenneia01,SDN,9,25,2,55,57.3333,4.24
kensilo01,COL,0,1,0,1,0.6667,0
kershcl01,LAN,11,52,3,232,236.0000,1.83
keuchda01,HOU,20,52,5,123,153.6667,5.15
kickhmi01,SFN,8,10,0,29,28.3333,10.16
kimbrcr01,ATL,4,20,3,98,67.0000,1.21
kintzbr01,MIL,2,16,1,58,77.0000,2.69
kirkmmi01,TEX,2,15,0,25,22.0000,8.18
klubeco01,CLE,15,33,5,136,147.3333,3.85
koehlto01,MIA,14,54,5,92,143.0000,4.41
kohnmi01,LAA,7,28,3,52,53.0000,3.74
kontoge01,SFN,7,18,2,47,55.3333,4.39
krolia01,WAS,5,8,0,22,27.3333,3.95
kurodhi01,NYA,20,43,5,150,201.3333,3.31
lackejo01,BOS,26,40,6,161,189.3333,3.52
laffeaa01,NYN,1,5,2,9,10.0000,7.2
laffeaa01,TOR,0,5,0,0,2.6667,6.75
lafrobo01,SEA,0,4,0,11,10.6667,5.91
langwma01,CLE,1,2,0,6,5.3333,5.06
langwma01,ARI,1,5,1,6,8.6667,5.19
lannajo01,PHI,6,27,5,38,74.3333,5.33
latosma01,CIN,14,58,10,187,210.6667,3.16
layneto01,SDN,1,5,2,6,8.6667,2.08
leagubr01,LAN,8,15,3,28,54.3333,5.3
leakemi01,CIN,21,48,6,122,192.3333,3.37
leblawa01,MIA,6,15,2,31,48.6667,5.18
leblawa01,HOU,1,5,1,2,6.3333,7.11
lecursa01,CIN,4,24,1,66,61.0000,2.66
leech01,CLE,0,3,1,4,4.3333,4.15
leecl02,PHI,22,32,4,222,222.6667,2.87
leesmch01,CHA,2,16,1,13,15.3333,7.04
lerouch01,PIT,1,6,0,3,4.0000,6.75
lestejo01,BOS,19,67,7,177,213.3333,3.75
lillyte01,LAN,4,10,1,18,23.0000,5.09
limch01,CHN,0,7,1,5,5.0000,5.4
linceti01,SFN,21,76,7,193,197.6667,4.37
lincobr01,TOR,4,22,3,25,31.6667,3.98
lindbjo01,TEX,4,11,0,21,31.3333,5.46
lindsma01,CHA,2,23,1,46,60.6667,3.12
liriafr01,PIT,9,63,0,163,161.0000,3.02
loch02,HOU,2,13,0,16,19.3333,4.19
lockeje01,PIT,11,84,6,125,166.3333,3.52
loeka01,SEA,6,1,0,3,6.6667,10.8
loeka01,CHN,3,4,0,4,8.3333,5.4
loeka01,ATL,2,5,0,8,11.6667,6.17
loganbo02,NYA,7,13,0,50,39.0000,3.23
lohseky01,MIL,26,36,3,125,198.6667,3.35
lopezja02,SFN,1,12,0,37,39.3333,1.83
lopezwi01,COL,6,18,1,48,75.3333,4.06
loupaa01,TOR,5,13,7,53,69.3333,2.47
lowede01,TEX,3,3,2,8,13.0000,9
lowema01,LAA,1,11,0,7,11.6667,9.26
luekejo01,TBA,3,12,1,25,21.3333,5.06
